,ERA,HOF,Opposing_BA,completed,firstName,games,hits,homeruns,lastName,losses,outs_pitched,player_id,runs_earned,saves,seasons,shutouts,started,strikes,walks,wins,WAR,ERA,wins,strikes,games,seasons,Opposing_BA,predictions
173,4.283333333333334,0,0.11166666666666668,141.0,Robert McClelland,158.0,1455.0,31.0,Barr,98.0,3982.0,barrbo01,565.0,1.05,6.0,6.0299999999999985,151.0,588.0,363.0,49.01,-1.01,4.283333333333334,49.01,588.0,158.0,6.0,0.11166666666666668,0
177,4.541428571428571,0,0.14857142857142858,84.0,John Francis,107.0,1182.0,30.020000000000003,Coleman,72.0,2528.0,colemjo01,438.0,0.07,7.0,4.049999999999999,93.0,224.0,102.0,23.020000000000003,3.76,4.541428571428571,23.020000000000003,224.0,107.0,7.0,0.14857142857142858,0
178,3.501428571428572,0,0.04857142857142858,137.0,Edgar Leander,147.0,1264.0,23.02,Cushman,80.00999999999998,3677.0,cushmed01,525.0,1.06,7.0,4.049999999999999,144.0,607.0,359.0,62.0,-1.07,3.501428571428572,62.0,607.0,147.0,7.0,0.04857142857142858,0
187,5.706250000000002,0,0.1025,197.0,James Harding,210.0,1800.0,25.03,Henderson,121.0,5365.0,hendeha01,696.0,0.08,8.0,4.069999999999999,206.0,930.0,522.0,81.00999999999998,-0.21,5.706250000000002,81.00999999999998,930.0,210.0,8.0,0.1025,0
201,3.7357142857142858,0,0.22714285714285715,196.0,Frederick Lander,211.0,1710.0,41.0,Shaw,121.0,5286.0,shawdu01,607.0,0.07,7.0,13.03,207.0,950.0,396.0,83.01,-3.77,3.7357142857142858,83.01,950.0,211.0,7.0,0.22714285714285715,0
205,3.8083333333333336,0,0.16,113.0,Charles Joseph,129.0,928.0,24.01,Sweeney,52.0,3092.0,sweench01,329.0,1.05,6.0,8.03,123.0,505.0,172.0,64.01,1.4,3.8083333333333336,64.01,505.0,129.0,6.0,0.16,0
209,3.834000000000001,0,0.01,99.0,Albert Wright,106.0,943.0,21.0,Atkinson,51.0,2745.0,atkinal01,403.0,0.05,5.0,3.02,106.0,435.0,209.0,51.0,-0.94,3.834000000000001,51.0,435.0,106.0,5.0,0.01,0
211,3.937142857142857,0,1.6228571428571428,112.01,Charles B.,118.0,921.0,31.02,Baldwin,41.01,3051.0,baldwla01,322.0,1.06,7.0,9.04,116.0,582.0,233.0,73.0,0.82,3.937142857142857,73.0,582.0,118.0,7.0,1.6228571428571428,0
219,2.8466666666666662,0,0.205,189.0,Henry J.,207.0,1740.0,46.0,Boyle,111.0,5269.0,boylehe01,597.0,1.05,6.0,10.01,199.0,602.0,378.0,89.0,0.78,2.8466666666666662,89.0,602.0,207.0,6.0,0.205,0
226,3.0966666666666667,0,0.09555555555555556,298.0,Robert Lee,340.0,2678.0,59.0,Caruthers,99.0,8486.0,carutbo01,891.0,3.06,9.0,24.02,310.0,900.0,597.0,218.0,16.8,3.0966666666666667,218.0,900.0,340.0,9.0,0.09555555555555556,0
