,Unnamed: 0,2B,3B,BA,BB,HBP,HOF,HR,IBB,OBP,OPS,SB,SF,SLG,extra_base_hits,firstName,games,hits,lastName,player_id,runs,WAR
2120,2120,0.11,0.11,0.13944223107569714,1.1,0.0,N,0.11,0.0,0.19801980198019795,0.3812867342511143,0.11,0.0,0.18326693227091628,0.0,Gregory Winston,453.0,2.0999999999999988,McMichael,mcmicgr01,0.11,0.2
2121,2121,0.18000000000000002,0.18000000000000002,0.09769335142469464,0.18000000000000002,0.0,N,0.18000000000000002,0.0,0.1049798115746971,0.25151983871173905,0.18000000000000002,0.0,0.14654002713704195,0.0,Daniel,631.0,2.16,Miceli,micelda01,0.18000000000000002,0.06
2122,2122,78.03,10.05,0.2624434389140272,124.0,11.0,N,56.0,7.0,0.31842260153031193,0.7528957754152505,7.059999999999999,17.0,0.4344731738849386,0.0,Matthew Todd,663.0,406.0,Mieske,mieskma01,225.0,0.12
2123,2123,319.0,49.03,0.2733058135534916,475.0,41.0,Y,271.0,50.0,0.33061096277681795,0.8154854037812901,229.03,37.0,0.484874441004472,0.0,Raul Ramon,1525.0,1589.0,Mondesi,mondera01,909.0,29.38
2124,2124,234.0,40.02,0.2743142144638404,334.0,28.0,N,127.01,31.0,0.3318955732122588,0.7795439522646279,17.03,33.0,0.4476483790523689,0.0,Troy Franklin,1198.0,1100.0,O'Leary,oleartr01,547.0,
2125,2125,128.01,10.05,0.23928984947896564,120.03,12.0,N,99.03,6.0,0.2735619473050494,0.6846773467647175,27.01,26.0,0.4111153994596681,0.0,Craig Harold,814.0,620.0,Paquette,paquecr01,304.01,-1.61
2126,2126,88.01,3.119999999999997,0.24722222222222226,194.0,24.0,N,79.0,8.0,0.32611903590752583,0.7573690359075258,19.090000000000003,15.0,0.43125,0.0,Eduardo Atanacio,754.0,445.0,Perez,perezed01,238.0,0.96
2127,2127,39.02,12.07,0.25,85.05000000000003,7.0,N,20.040000000000006,2.0,0.32700410089320825,0.7318784727525047,29.050000000000008,2.0,0.4048743718592965,0.0,Curtis John,421.0,199.0,Pride,pridecu01,132.0,1.23
2128,2128,547.01,20.090000000000003,0.3122270742358079,1329.01,109.0,Y,555.01,216.0,0.4105613891103264,0.9959835142922768,38.07999999999999,90.0,0.5854221251819506,0.0,Manuel Aristides,2302.0,2574.0,Ramirez,ramirma02,1544.01,69.2
2129,2129,9.09,0.14,0.15274919614147908,27.02,0.0,N,0.14,0.0,0.18658450811901772,0.3550732540997251,1.13,5.0,0.1684887459807074,0.0,Kirk Wesley,349.0,95.01,Rueter,rueteki01,44.03,0.64
2130,2130,0.11,0.11,1.0,0.11,0.0,N,0.11,0.0,1.0,8.0,0.11,0.0,7.0,0.0,Brian Douglas,467.0,0.11,Shouse,shousbr01,0.11,0.21
2131,2131,1.13,1.13,0.1462538819875776,2.129999999999999,1.0,N,0.14,0.0,0.17142318922482808,0.3546530028894244,0.14,0.0,0.18322981366459629,0.0,Salomon,499.0,15.07,Torres,torresa01,5.119999999999997,0.01
