player_id,WAR
baezke01,-0.74
baezpe01,0.09
bagbyji01,1.31
bagbyji02,1.56
bagwebi01,-0.01
bagweje01,79.62
bahnsst01,-0.97
bahred01,-0.38
bahrefr01,-0.18
baichgr01,-0.02
bailean01,0.12
bailebi01,0.13
bailebi02,-0.14
bailebo01,28.72
baileco01,0.34
baileed01,27.24
bailefr01,-0.54
bailege01,-1.07
baileha01,0.07
baileho01,0.04
baileho02,0.22
baileje01,0
baileji01,-0.05
baileki01,0.07
bailema01,2.44
bailero01,0.56
bailesc01,0.21
bailest01,-0.04
bailesw01,0.24
bailobo01,8.97
baineha01,38.53
bainlo01,0.02
bairdal01,0.32
bairdbo01,-0.02
bairddo01,6.38
bairdo01,0.14
baislje01,-0.3
bajenje01,0
bakelje01,-0.99
bakenda01,0
bakeral01,-0.07
bakerbi01,1.34
bakerbo01,-0.05
bakerch01,-0.61
bakerch02,-0.15
bakerda01,-0.1
bakerde01,0.14
bakerdo01,-0.41
bakerdu01,36.86
bakerer01,-0.03
bakerfl01,7.66
bakerfr01,62.77
bakerfr02,-2.31
bakerfr03,0.13
bakerge01,-1.3
bakerge02,6.74
bakerho01,-0.13
bakerja01,-0.3
bakerje01,-0.16
bakerje02,0
bakerje03,0.81
bakerjo01,1.02
bakerki01,0.27
bakerne01,-0.05
bakerno01,-0.39
bakerph01,2.18
bakersc01,0
bakersc02,-0.04
bakerst01,0.05
bakerto01,0.62
bakerto02,-0.05
bakertr01,0
bakopa01,-1.24
balasmi01,0
balazjo01,-0.41
balbost01,0.85
balcebo01,-0.08
baldero01,10.17
baldsja01,-0.1
baldwbi01,-0.36
baldwda01,-0.06
baldwfr01,-0.33
baldwha01,0.1
baldwhe01,0.04
baldwja01,-0.07
baldwje01,-0.19
baldwki01,-2.02
baldwla01,0.82
baldwma01,-5.21
baldwo.01,-0.11
baldwre01,-0.36
baldwri01,0.38
balejo01,-0.05
balenmi01,-1.03
balenwl01,0.51
balesco01,0.13
balesle01,-0.49
balfogr01,0.19
ballaje01,0.3
ballar01,0.01
balleja01,-0.09
ballepe01,-0.05
ballima01,0.01
ballje01,-0.06
ballji01,-0.55
ballne01,0.95
ballowi01,-1.17
balsato01,0.04
bambege01,-0.03
bambeha01,-0.18
banckst01,-0.19
bancrda01,48.5
bandaan01,-0.09
bandoch01,1.72
bandosa01,61.38
bandyje01,0.49
baneed01,0.02
baneydi01,-0.06
banisje01,0.05
bankhda01,0.16
bankhsc01,0.17
banksbi01,-0.08
banksbr01,-1.14
bankser01,67.44
banksev01,-0.08
banksge01,0.31
banksjo01,0.06
bankswe01,-0.54
bankswi01,0.3
bannial01,3.64
bannibr01,0.39
bannifl01,0.18
banniji01,-0.02
bannoji01,5.22
bannoto01,-0.38
bantaja01,-0.23
bantzbr01,-0.04
banuema01,-0.09
baptitr01,0.01
barajro01,4.8
barbajo01,-0.01
barbare01,-0.03
barbawa01,1.83
barbebr01,6.29
barbebr02,0.02
barbech01,-0.37
barbeda01,0.3
barbefr01,-0.12
barbeja01,0.87
barbest01,-0.68
barbest02,-0.13
barbetu01,0.48
barbiji01,0.46
barcelo01,0.02
barclcu01,0.25
barclge01,-3.41
bardda01,0.08
bardebr01,-0.23
bardjo01,3.2
barera01,0.04
barfije01,39.34
barfijo01,0.04
barfijo02,2.57
barfocl01,0.46
bargagr01,-0.04
bargecy01,0.97
barkbr01,0
