,2B,3B,BA,BB,HBP,HOF,HR,IBB,OBP,OPS,SB,SF,SLG,firstName,games,hits,lastName,player_id,runs,seasons,WAR
10161,0.01,0.01,1.0,0.01,0.0,N,0.01,0.0,1.0,8.0,0.01,0.0,7.000000000000001,Michael Edward,1.0,0.01,Grzanich,grzanmi01,0.01,1.0,0.0
10162,266.01,51.01,0.2848277337898566,510.0,22.0,Y,124.00999999999999,39.0,0.35492474757096587,0.7981218372349932,74.00999999999999,44.0,0.4431970896640274,Carlos Alfonso,1305.0,1331.0,Guillen,guillca01,733.0,14.0,27.72
10163,233.01,22.070000000000004,0.2566697059493959,373.01,84.0,N,70.03,8.0,0.3244551661095181,0.6921893808348429,147.02999999999997,35.0,0.3677342147253248,Jerry Wayne,1442.0,1126.01,Hairston,hairsje02,580.0,19.0,13.59
10164,2.1499999999999995,0.16,0.12402734346592975,4.13,0.0,N,0.16,0.0,0.1369872828228551,0.2717411189075035,0.16,0.0,0.1347538360846484,Harry Leroy,416.0,34.11,Halladay,hallaro01,15.12,16.0,-0.97
10165,0.01,0.01,0.06666666666666667,1.0,0.0,N,0.01,0.0,0.125,0.19566666666666666,0.01,0.0,0.07066666666666667,Christopher Kenneth,8.0,1.0,Hatcher,hatchch01,0.01,1.0,-0.16
10166,151.01,14.079999999999998,0.2559940981187754,220.01999999999998,45.0,N,75.02,14.0,0.31808080875085404,0.7231822473344025,3.0999999999999983,39.0,0.4051014385835485,Wesley Ray,1212.0,694.0,Helms,helmswe01,280.01,13.0,-1.48
10167,8.0,1.0,0.30434782608695654,11.0,3.0,N,3.0,0.0,0.3769230769230769,0.8464882943143812,3.0,1.0,0.46956521739130436,Robert Clifton,41.0,35.0,Henley,henlebo01,16.0,1.0,1.18
10168,28.009999999999998,3.04,0.2193074501573977,71.01,14.0,N,32.02,1.0,0.2802737819467879,0.6361499624294742,13.03,11.0,0.3558761804826862,Andrew Jay,350.0,209.0,Hinch,hinchaj01,104.0,7.0,0.0
10169,39.019999999999996,1.04,0.24157303370786518,42.03,1.0,N,28.03,1.0,0.2836695117607483,0.7010711971540067,11.03,3.0,0.41740168539325845,Damon Jamall,256.0,172.0,Hollins,hollida02,85.00999999999999,5.0,0.17
10170,9.0,2.01,0.23824451410658307,21.0,1.0,N,12.0,1.0,0.28654970760233917,0.6784619333076682,1.01,1.0,0.39191222570532913,Robert E.,133.0,76.0,Hughes,hughebo01,38.0,2.0,-0.6
10171,23.0,4.01,0.23893805309734514,32.0,3.0,N,7.02,0.0,0.29183673469387755,0.6459960267292758,7.01,3.0,0.35415929203539825,Ryan Dewitte,226.0,108.0,Jackson,jacksry01,49.01,4.0,-1.91
10172,303.0,22.01,0.2751063829787234,418.0,96.0,N,221.0,77.0,0.3441249285850314,0.8341291839041803,32.02,37.0,0.49000425531914893,Geoffrey Scott,1349.0,1293.0,Jenkins,jenkige01,688.0,11.0,21.86
10173,0.07,1.06,0.12392001974821029,0.07,0.0,N,0.07,0.0,0.12467628560858304,0.2782186208344532,0.07,0.0,0.15354233522587016,Jose,331.0,10.04,Jimenez,jimenjo01,8.049999999999999,7.0,-0.27
10174,0.01,0.01,1.0,1.0,0.0,N,0.01,0.0,1.0,8.0,0.01,0.0,7.000000000000001,Robert Keith,2.0,0.01,Johns,johnske03,0.01,1.0,0.02
10175,37.029999999999994,4.049999999999999,0.21841541755888652,124.0,9.0,N,16.040000000000003,3.0,0.313780260707635,0.632035078694787,8.049999999999999,7.0,0.31825481798715205,Mark Landon,332.0,204.0,Johnson,johnsma02,115.0,8.0,1.96
10176,176.01,16.040000000000003,0.26785115655380487,269.0,17.0,N,82.03,6.0,0.3293867638129933,0.7494940383688096,77.0,25.0,0.4201072745558163,Gabriel Stefan,1104.0,799.0,Kapler,kaplega01,443.0,14.0,8.8
10177,20.02,1.06,0.2564568764568764,34.03,28.0,N,13.03,2.0,0.350385923466998,0.7495700726511472,5.03,0.0,0.3991841491841492,Michael Arthur,222.0,110.02,Kinkade,kinkami01,56.019999999999996,7.0,0.42
10178,8.02,2.0300000000000002,0.2260536398467433,21.02,2.0,N,6.02,0.0,0.2887824801070347,0.6303150471568432,2.0299999999999994,0.0,0.34153256704980844,Daniel Victor,85.0,59.0,Klassen,klassda01,34.019999999999996,5.0,-1.18
10179,223.01,13.04,0.27537511032656664,458.0,56.0,N,124.0,45.0,0.36736762097795794,0.8254700040317973,71.00999999999999,34.0,0.4581023830538393,Cordel Leonard,989.0,936.0,Koskie,koskico01,516.0,9.0,24.6
10180,0.01,0.01,0.005,0.01,0.0,N,0.01,0.0,0.009950248756218907,0.04495024875621891,0.01,0.0,0.035,Frank Greenfield,12.0,0.01,Lankford,lankffr01,0.01,1.0,-0.02
10181,0.01,0.01,0.3333333333333333,0.01,0.0,N,0.01,0.0,0.3355481727574751,0.6888815060908084,0.01,0.0,0.35333333333333333,Stephen Karari,1.0,1.0,Larkin,larkist02,0.01,1.0,0.02
10182,120.0,17.050000000000008,0.24334975369458128,244.0,10.0,N,63.01,18.0,0.3247937472861485,0.7371730576309761,29.040000000000003,19.0,0.4123793103448276,Ricardo Alberto,855.0,494.0,Ledee,ledeeri01,290.0,14.0,2.83
10183,191.0,16.02,0.25614973262032087,457.0,9.0,N,115.01,35.0,0.3365634601748996,0.7446035671267712,59.01,25.0,0.40804010695187165,Travis Reynolds,1099.0,958.0,Lee,leetr01,476.0,10.0,7.18
10184,11.04,3.0399999999999996,0.24700404858299593,18.020000000000003,14.0,N,3.049999999999999,1.0,0.3322262695521749,0.6855865934388146,8.03,1.0,0.3533603238866396,Mark Travis,148.0,61.01,Little,littlma01,46.03,6.0,0.52
10185,222.0,8.059999999999999,0.2857142857142857,266.01,58.0,Y,80.03,23.0,0.3370907580029155,0.7456750334397089,20.040000000000003,44.0,0.4085842754367934,Paul Anthony,1082.0,1112.0,Lo Duca,loducpa01,483.0,13.0,17.87
10186,12.04,3.0499999999999994,0.22,27.02,3.0,N,8.02,1.0,0.28087764421815126,0.6214490727895798,23.0,1.0,0.3405714285714285,George Paul,144.0,77.0,Lombard,lombage01,55.0,6.0,-0.83
